Date,Open,High,Low,Close,Adj Close,Volume,Ticker,selic,oil_price,exchange_rate,ipca,bovespa
2020-06-26,21.209999084472656,21.469999313354492,20.780000686645508,20.84000015258789,7.415319919586182,55499300,PETR4.SA,0.008442,40.97,5.3595,-0.26,93834.0
2020-06-29,21.100000381469727,21.65999984741211,20.93000030517578,21.65999984741211,7.707094669342041,59809600,PETR4.SA,0.008442,41.58,5.4021,-0.26,95735.0
2020-06-30,21.34000015258789,21.799999237060547,21.09000015258789,21.549999237060547,7.667952537536621,65010600,PETR4.SA,0.008442,41.64,5.4617,-0.26,95056.0
2020-07-01,21.75,22.25,21.520000457763672,21.709999084472656,7.724883556365967,78983900,PETR4.SA,0.008442,42.18,5.3162,-0.10,96203.0
2020-07-02,22.100000381469727,22.209999084472656,21.860000610351562,22.059999465942383,7.849423885345459,56345900,PETR4.SA,0.008442,43.19,5.3589,-0.10,96235.0
2020-07-03,21.950000762939453,22.18000030517578,21.799999237060547,21.979999542236328,7.820956707000732,24060000,PETR4.SA,0.008442,42.92,5.3589,-0.10,96765.0
2020-07-06,22.389999389648438,22.860000610351562,22.309999465942383,22.510000228881836,8.009542465209961,58070900,PETR4.SA,0.008442,42.73,5.3543,-0.10,98937.0
2020-07-07,22.34000015258789,22.469999313354492,22.139999389648438,22.229999542236328,7.909911632537842,46591300,PETR4.SA,0.008442,43.28,5.3778,-0.10,97761.0
2020-07-08,22.450000762939453,22.760000228881836,22.399999618530273,22.649999618530273,8.059358596801758,49136300,PETR4.SA,0.008442,43.67,5.3426,-0.10,99770.0
2020-07-09,22.780000686645508,22.809999465942383,22.059999465942383,22.139999389648438,7.877889156341553,57151500,PETR4.SA,0.008442,42.35,5.3378,-0.10,99160.0
2020-07-10,22.190000534057617,22.649999618530273,22.059999465942383,22.510000228881836,8.009542465209961,57428300,PETR4.SA,0.008442,43.27,5.3378,-0.10,100032.0
2020-07-13,22.610000610351562,22.649999618530273,22.15999984741211,22.15999984741211,7.885005474090576,55425500,PETR4.SA,0.008442,42.85,5.4015,-0.10,98697.0
2020-07-14,22.1299991607666,22.959999084472656,21.860000610351562,22.899999618530273,8.14831256866455,89380500,PETR4.SA,0.008442,42.97,5.3668,-0.10,100440.0
2020-07-15,23.200000762939453,23.43000030517578,22.850000381469727,23.34000015258789,8.304874420166016,58390600,PETR4.SA,0.008442,43.96,5.36695,-0.10,101791.0
2020-07-16,23.15999984741211,23.280000686645508,22.520000457763672,22.719999313354492,8.084264755249023,69698700,PETR4.SA,0.008442,43.71,5.3307,-0.10,100553.0
2020-07-17,22.829999923706055,23.030000686645508,22.579999923706055,22.739999771118164,8.091381072998047,49927600,PETR4.SA,0.008442,43.53,5.3307,-0.10,102888.0
2020-07-20,22.700000762939453,22.90999984741211,22.520000457763672,22.739999771118164,8.091381072998047,48679800,PETR4.SA,0.008442,43.3,5.3277,-0.10,104426.0
2020-07-21,23.149999618530273,23.600000381469727,23.139999389648438,23.3700008392334,8.315549850463867,101769600,PETR4.SA,0.008442,44.31,5.1698,-0.10,104310.0
2020-07-22,23.299999237060547,23.40999984741211,23.010000228881836,23.049999237060547,8.201685905456543,43085500,PETR4.SA,0.008442,43.98,5.1181,-0.10,104290.0
2020-07-23,23.15999984741211,23.229999542236328,22.540000915527344,22.56999969482422,8.03105354309082,64072100,PETR4.SA,0.008442,42.96,5.2106,-0.10,102293.0
2020-07-24,22.540000915527344,23.059999465942383,22.420000076293945,22.729999542236328,8.087985038757324,43380300,PETR4.SA,0.008442,43.29,5.2106,-0.10,102382.0
2020-07-27,22.8700008392334,23.25,22.450000762939453,23.200000762939453,8.25522518157959,56539600,PETR4.SA,0.008442,43.39,5.14142,-0.10,104477.0
2020-07-28,23.040000915527344,23.31999969482422,22.799999237060547,22.799999237060547,8.112894058227539,48353000,PETR4.SA,0.008442,43.11,5.1523,-0.10,104109.0
2020-07-29,23.030000686645508,23.25,22.920000076293945,23.170000076293945,8.244549751281738,44011500,PETR4.SA,0.008442,43.51,5.1688,-0.10,105605.0
2020-07-30,22.920000076293945,22.920000076293945,22.5,22.81999969482422,8.120011329650879,57859000,PETR4.SA,0.008442,42.98,5.1539,-0.10,105009.0
2020-07-31,22.920000076293945,23.139999389648438,22.15999984741211,22.200000762939453,7.899395942687988,75397300,PETR4.SA,0.008442,43.13,5.1539,-0.10,102912.0
2020-08-03,22.540000915527344,22.549999237060547,21.719999313354492,21.799999237060547,7.757065296173096,63598500,PETR4.SA,0.008442,43.76,5.3187,-0.10,102830.0
2020-08-04,21.459999084472656,22.049999237060547,21.25,21.780000686645508,7.749949932098389,63011900,PETR4.SA,0.008442,43.99,5.2902,-0.10,101216.0
2020-08-05,22.229999542236328,23.280000686645508,22.229999542236328,23.18000030517578,8.248106002807617,137214700,PETR4.SA,0.008442,44.92,5.2909,-0.10,102802.0
2020-08-06,23.280000686645508,23.530000686645508,23.010000228881836,23.219999313354492,8.262341499328613,56375100,PETR4.SA,0.007469,45.04,5.3313,-0.10,104126.0
2020-08-07,22.860000610351562,22.90999984741211,22.549999237060547,22.790000915527344,8.109336853027344,56040200,PETR4.SA,0.007469,44.07,5.3313,-0.10,102776.0
2020-08-10,22.899999618530273,23.450000762939453,22.639999389648438,23.450000762939453,8.344182968139648,52390100,PETR4.SA,0.007469,44.19,5.4805,-0.10,103444.0
2020-08-11,23.709999084472656,23.8799991607666,23.059999465942383,23.079999923706055,8.2125244140625,66342300,PETR4.SA,0.007469,43.68,5.3804,-0.10,102174.0
2020-08-12,23.360000610351562,23.68000030517578,23.079999923706055,23.479999542236328,8.354857444763184,67008500,PETR4.SA,0.007469,45.09,5.435,-0.10,102118.0
2020-08-13,23.450000762939453,23.579999923706055,22.709999084472656,22.84000015258789,8.127128601074219,44588200,PETR4.SA,0.007469,44.87,5.367,-0.10,100461.0
2020-08-14,22.770000457763672,22.979999542236328,22.530000686645508,22.670000076293945,8.066635131835938,38422000,PETR4.SA,0.007469,44.86,5.367,-0.10,101353.0
2020-08-17,22.68000030517578,22.84000015258789,22.149999618530273,22.600000381469727,8.041727066040039,52064300,PETR4.SA,0.007469,44.91,5.5083,-0.10,99595.0
2020-08-18,22.93000030517578,23.239999771118164,22.770000457763672,23.020000457763672,8.19117546081543,49361300,PETR4.SA,0.007469,45.34,5.4654,-0.10,102065.0
2020-08-19,22.950000762939453,23.31999969482422,22.75,22.889999389648438,8.144918441772461,51982100,PETR4.SA,0.007469,45.21,5.5564,-0.10,100854.0
2020-08-20,22.520000457763672,22.8700008392334,22.350000381469727,22.729999542236328,8.087985038757324,55251700,PETR4.SA,0.007469,44.56,5.5559,-0.10,101468.0
2020-08-21,22.540000915527344,22.6299991607666,22.350000381469727,22.559999465942383,8.027494430541992,38668300,PETR4.SA,0.007469,43.94,5.5559,-0.10,101521.0
2020-08-24,22.860000610351562,23.1299991607666,22.799999237060547,22.969999313354492,8.173383712768555,51841900,PETR4.SA,0.007469,44.43,5.6106,-0.10,102298.0
2020-08-25,23.09000015258789,23.149999618530273,22.690000534057617,22.8700008392334,8.137802124023438,37981400,PETR4.SA,0.007469,46.01,5.5074,-0.10,102118.0
2020-08-26,22.780000686645508,22.899999618530273,22.040000915527344,22.219999313354492,7.906513214111328,69925300,PETR4.SA,0.007469,45.79,5.6072,-0.10,100627.0
